Seção	Divisão	Grupo	Classe	Subclasse 2.3	Denominação	Até 200 m2	De 200 m2 a 400 m2	acima de 400 m2
				4511-1/05	Comércio por atacado de reboques e semireboques novos e usados	Médio	Médio	Alto
				4511-1/06	Comércio por atacado de ônibus e micro-ônibus novos e usados	Médio	Médio	Alto
			45.12-9		Representantes comerciais e agentes do comércio de veículos automotores			
				4512-9/01	Representantes comerciais e agentes do comércio de veículos automotores	Baixo	Médio	Alto
				4512-9/02	Comércio sob consignação de veículos automotores	Médio	Médio	Alto
		45.2			Manutenção e reparação de veículos automotores			
			45.20-0		Manutenção e reparação de veículos automotores			
				4520-0/01	Serviços de manutenção e reparação mecânica de veículos automotores	Alto	Alto	Alto
				4520-0/02	Serviços de lanternagem ou funilaria e pintura de veículos automotores	Alto	Alto	Alto
				4520-0/03	Serviços de manutenção e reparação elétrica de veículos automotores	Médio	Médio	Alto
				4520-0/04	Serviços de alinhamento e balanceamento de veículos automotores	Médio	Médio	Alto
				4520-0/05	Serviços de lavagem, lubrificação e polimento de veículos automotores	Alto	Alto	Alto
				4520-0/06	Serviços de borracharia para veículos automotores	Alto	Alto	Alto
				4520-0/07	Serviços de instalação, manutenção e reparação de acessórios para veículos automotores	Médio	Médio	Alto
				4520-0/08	Serviços de capotaria	Médio	Médio	Alto
		45.3			Comércio de peças e acessórios para veículos automotores			
			45.30-7		Comércio de peças e acessórios para veículos automotores			
				4530-7/01	Comércio por atacado de peças e acessórios novos para veículos automotores	Médio	Médio	Alto
				4530-7/02	Comércio por atacado de pneumáticos e câmaras-de-ar	Alto	Alto	Alto
				4530-7/03	Comércio a varejo de peças e acessórios novos para veículos automotores	Médio	Médio	Alto
				4530-7/04	Comércio a varejo de peças e acessórios usados para veículos automotores	Alto	Alto	Alto
				4530-7/05	Comércio a varejo de pneumáticos e câmaras-de-ar	Alto	Alto	Alto
				4530-7/06	Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores	Baixo	Médio	Alto
		45.4			Comércio, manutenção e reparação de motocicletas, peças e acessórios			
			45.41-2		Comércio por atacado e a varejo de motocicletas, peças e acessórios			
				4541-2/01	Comércio por atacado de motocicletas e motonetas	Médio	Médio	Alto
				4541-2/02	Comércio por atacado de peças e acessórios para motocicletas e motonetas	Médio	Médio	Alto
				4541-2/03	Comércio a varejo de motocicletas e motonetas novas	Médio	Médio	Alto
				4541-2/04	Comércio a varejo de motocicletas e motonetas usadas	Médio	Médio	Alto
								
				4541-2/06	Comércio a varejo de peças e acessórios novos para motocicletas e motonetas	Médio	Médio	Alto
				4541-2/07	Comércio a varejo de peças e acessórios usados para motocicletas e motonetas	Médio	Médio	Alto
			45.42-1		Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios			
				4542-1/01	Representantes comerciais e agentes do comércio de motocicletas e motonetas, peças e acessórios	Baixo	Médio	Alto
				4542-1/02	Comércio sob consignação de motocicletas e motonetas	Médio	Médio	Alto
			45.43-9		Manutenção e reparação de motocicletas			
				4543-9/00	Manutenção e reparação de motocicletas e motonetas	Alto	Alto	Alto
	46				COMÉRCIO POR ATACADO, EXCETO VEÍCULOS AUTOMOTORES E MOTOCICLETAS			
		46.1			Representantes comerciais e agentes do comércio, exceto de veículos automotores e motocicletas			
			46.11-7		Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos			
				4611-7/00	Representantes comerciais e agentes do comércio de matérias-primas agrícolas e animais vivos	Baixo	Médio	Alto
			46.12-5		Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos			
				4612-5/00	Representantes comerciais e agentes do comércio de combustíveis, minerais, produtos siderúrgicos e químicos	Baixo	Médio	Alto
			46.13-3		Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens			
				4613-3/00	Representantes comerciais e agentes do comércio de madeira, material de construção e ferragens	Baixo	Médio	Alto
			46.14-1		Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves			
				4614-1/00	Representantes comerciais e agentes do comércio de máquinas, equipamentos, embarcações e aeronaves	Baixo	Médio	Alto
			46.15-0		Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico			
				4615-0/00	Representantes comerciais e agentes do comércio de eletrodomésticos, móveis e artigos de uso doméstico	Baixo	Médio	Alto
			46.16-8		Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem			
				4616-8/00	Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem	Baixo	Médio	Alto
			46.17-6		Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo			
				4617-6/00	Representantes comerciais e agentes do comércio de produtos alimentícios, bebidas e fumo	Baixo	Médio	Alto
			46.18-4		Representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente			
				4618-4/01	Representantes comerciais e agentes do comércio de medicamentos, cosméticos e produtos de perfumaria	Baixo	Médio	Alto
				4618-4/02	Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares	Baixo	Médio	Alto
				4618-4/03	Representantes comerciais e agentes do comércio de jornais, revistas e outras publicações	Baixo	Médio	Alto
				4618-4/99	Outros representantes comerciais e agentes do comércio especializado em produtos não especificados anteriormente	Baixo	Médio	Alto
			46.19-2		Representantes comerciais e agentes do comércio de mercadorias em geral não especializado			
				4619-2/00	Representantes comerciais e agentes do comércio de mercadorias em geral não especializado	Baixo	Médio	Alto
		46.2			Comércio atacadista de matérias-primas agrícolas e animais vivos			
			46.21-4		Comércio atacadista de café em grão			
				4621-4/00	Comércio atacadista de café em grão	Baixo	Médio	Alto
			46.22-2		Comércio atacadista de soja			
				4622-2/00	Comércio atacadista de soja	Baixo	Médio	Alto
			46.23-1		Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja			
				4623-1/01	Comércio atacadista de animais vivos	Alto	Alto	Alto
				4623-1/02	Comércio atacadista de couros, lãs, peles e outros subprodutos não comestíveis de origem animal	Médio	Médio	Alto
				4623-1/03	Comércio atacadista de algodão	Médio	Médio	Alto
				4623-1/04	Comércio atacadista de fumo em folha não beneficiado	Médio	Médio	Alto
				4623-1/05	Comércio atacadista de cacau	Baixo	Médio	Alto
				4623-1/06	Comércio atacadista de sementes, flores, plantas e gramas	Médio	Médio	Alto
				4623-1/07	Comércio atacadista de sisal	Médio	Médio	Alto
				4623-1/08	Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada	Alto	Alto	Alto
				4623-1/09	Comércio atacadista de alimentos para animais	Médio	Médio	Alto
				4623-1/99	Comércio atacadista de matérias-primas agrícolas não especificadas anteriormente	Médio	Médio	Alto
		46.3			Comércio atacadista especializado em produtos alimentícios, bebidas e fumo			
			46.31-1		Comércio atacadista de leite e laticínios			
				4631-1/00	Comércio atacadista de leite e laticínios	Baixo	Médio	Alto
			46.32-0		Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas			
				4632-0/01	Comércio atacadista de cereais e leguminosas beneficiados	Baixo	Médio	Alto
				4632-0/02	Comércio atacadista de farinhas, amidos e féculas	Baixo	Médio	Alto
				4632-0/03	Comércio atacadista de cereais e leguminosas beneficiados, farinhas, amidos e féculas, com atividade de fracionamento e acondicionamento associada	Baixo	Médio	Alto
			46.33-8		Comércio atacadista de hortifrutigranjeiros			
				4633-8/01	Comércio atacadista de frutas, verduras, raízes, tubérculos, hortaliças e legumes frescos	Baixo	Médio	Alto
				4633-8/02	Comércio atacadista de aves vivas e ovos	Alto	Alto	Alto
				4633-8/03	Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação	Alto	Alto	Alto
			46.34-6		Comércio atacadista de carnes, produtos da carne e pescado			
				4634-6/01	Comércio atacadista de carnes bovinas e suínas e derivados	Médio	Alto	Alto
				4634-6/02	Comércio atacadista de aves abatidas e derivados	Médio	Alto	Alto
				4634-6/03	Comércio atacadista de pescados e frutos do mar	Médio	Alto	Alto
				4634-6/99	Comércio atacadista de carnes e derivados de outros animais	Médio	Alto	Alto
			46.35-4		Comércio atacadista de bebidas			
				4635-4/01	Comércio atacadista de água mineral	Baixo	Médio	Alto
				4635-4/02	Comércio atacadista de cerveja, chope e refrigerante	Baixo	Médio	Alto
				4635-4/03	Comércio atacadista de bebidas com atividade de fracionamento e acondicionamento associada	Baixo	Médio	Alto
				4635-4/99	Comércio atacadista de bebidas não especificadas anteriormente	Baixo	Médio	Alto
			46.36-2		Comércio atacadista de produtos do fumo			
				4636-2/01	Comércio atacadista de fumo beneficiado	Médio	Médio	Alto
				4636-2/02	Comércio atacadista de cigarros, cigarrilhas e charutos	Médio	Médio	Alto
			46.37-1		Comércio atacadista especializado em produtos alimentícios não especificados anteriormente			
				4637-1/01	Comércio atacadista de café torrado, moído e solúvel	Baixo	Médio	Alto
				4637-1/02	Comércio atacadista de açúcar	Baixo	Médio	Alto
				4637-1/03	Comércio atacadista de óleos e gorduras	Baixo	Médio	Alto
				4637-1/04	Comércio atacadista de pães, bolos, biscoitos e similares	Baixo	Médio	Alto
				4637-1/05	Comércio atacadista de massas alimentícias	Baixo	Médio	Alto
				4637-1/06	Comércio atacadista de sorvetes	Baixo	Médio	Alto
				4637-1/07	Comércio atacadista de chocolates, confeitos, balas, bombons e semelhantes	Baixo	Médio	Alto
				4637-1/99	Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente	Baixo	Médio	Alto
			46.39-7		Comércio atacadista de produtos alimentícios em geral			
				4639-7/01	Comércio atacadista de produtos alimentícios em geral	Baixo	Médio	Alto
				4639-7/02	Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada	Baixo	Médio	Alto
		46.4			Comércio atacadista de produtos de consumo não alimentar			
			46.41-9		Comércio atacadista de tecidos, artefatos de tecidos e de armarinho			
				4641-9/01	Comércio atacadista de tecidos	Médio	Médio	Alto
				4641-9/02	Comércio atacadista de artigos de cama, mesa e banho	Médio	Médio	Alto
				4641-9/03	Comércio atacadista de artigos de armarinho	Médio	Médio	Alto
			46.42-7		Comércio atacadista de artigos do vestuário e acessórios			
				4642-7/01	Comércio atacadista de artigos do vestuário e acessórios, exceto profissionais e de segurança	Médio	Médio	Alto
				4642-7/02	Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho	Médio	Médio	Alto
			46.43-5		Comércio atacadista de calçados e artigos de viagem			
				4643-5/01	Comércio atacadista de calçados	Médio	Médio	Alto
				4643-5/02	Comércio atacadista de bolsas, malas e artigos de viagem	Médio	Médio	Alto
			46.44-3		Comércio atacadista de produtos farmacêuticos para uso humano e veterinário			
				4644-3/01	Comércio atacadista de medicamentos e drogas de uso humano	Médio	Médio	Alto
				4644-3/02	Comércio atacadista de medicamentos e drogas de uso veterinário	Médio	Médio	Alto
			46.45-1		Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico			
				4645-1/01	Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, hospitalar e de laboratórios	Médio	Médio	Alto
				4645-1/02	Comércio atacadista de próteses e artigos de ortopedia	Médio	Médio	Alto
				4645-1/03	Comércio atacadista de produtos odontológicos	Médio	Médio	Alto
			46.46-0		Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal			
				4646-0/01	Comércio atacadista de cosméticos e produtos de perfumaria	Médio	Médio	Alto
				4646-0/02	Comércio atacadista de produtos de higiene pessoal	Médio	Médio	Alto
			46.47-8		Comércio atacadista de artigos de escritório e de papelaria; livros, jornais e outras publicações			
				4647-8/01	Comércio atacadista de artigos de escritório e de papelaria	Médio	Médio	Alto
				4647-8/02	Comércio atacadista de livros, jornais e outras publicações	Médio	Médio	Alto
			46.49-4		Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente			
				4649-4/01	Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico	Médio	Médio	Alto
				4649-4/02	Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico	Médio	Médio	Alto
				4649-4/03	Comércio atacadista de bicicletas, triciclos e outros veículos recreativos	Médio	Médio	Alto
				4649-4/04	Comércio atacadista de móveis e artigos de colchoaria	Médio	Médio	Alto
				4649-4/05	Comércio atacadista de artigos de tapeçaria; persianas e cortinas	Médio	Médio	Alto
				4649-4/06	Comércio atacadista de lustres, luminárias e abajures	Médio	Médio	Alto
				4649-4/07	Comércio atacadista de filmes, CDs, DVDs, fitas e discos	Médio	Médio	Alto
				4649-4/08	Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar	Médio	Médio	Alto
				4649-4/09	Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar, com atividade de fracionamento e acondicionamento associada	Médio	Médio	Alto
				4649-4/10	Comércio atacadista de jóias, relógios e bijuterias, inclusive pedras preciosas e semipreciosas lapidadas	Médio	Médio	Alto
				4649-4/99	Comércio atacadista de outros equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente	Médio	Médio	Alto
		46.5			Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação			
			46.51-6		Comércio atacadista de computadores, periféricos e suprimentos de informática			
				4651-6/01	Comércio atacadista de equipamentos de informática	Médio	Médio	Alto
				4651-6/02	Comércio atacadista de suprimentos para informática	Médio	Médio	Alto
			46.52-4		Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação			
				4652-4/00	Comércio atacadista de componentes eletrônicos e equipamentos de telefonia e comunicação	Médio	Médio	Alto
		46.6			Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação			
			46.61-3		Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças			
				4661-3/00	Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças	Médio	Médio	Alto
			46.62-1		Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças			
				4662-1/00	Comércio atacadista de máquinas, equipamentos para terraplenagem, mineração e construção; partes e peças	Médio	Médio	Alto
			46.63-0		Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças			
				4663-0/00	Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças	Médio	Médio	Alto
			46.64-8		Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças			
				4664-8/00	Comércio atacadista de máquinas, aparelhos e equipamentos para uso odonto-médico-hospitalar; partes e peças	Médio	Médio	Alto
			46.65-6		Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças			
				4665-6/00	Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças	Médio	Médio	Alto
			46.69-9		Comércio atacadista de máquinas, aparelhos e equipamentos não especificados anteriormente; partes e peças			
				4669-9/01	Comércio atacadista de bombas e compressores; partes e peças	Médio	Médio	Alto
				4669-9/99	Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças	Médio	Médio	Alto
		46.7			Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção			
			46.71-1		Comércio atacadista de madeira e produtos derivados			
				4671-1/00	Comércio atacadista de madeira e produtos derivados	Médio	Médio	Alto
			46.72-9		Comércio atacadista de ferragens e ferramentas			
				4672-9/00	Comércio atacadista de ferragens e ferramentas	Médio	Médio	Alto
			46.73-7		Comércio atacadista de material elétrico			
				4673-7/00	Comércio atacadista de material elétrico	Médio	Médio	Alto
			46.74-5		Comércio atacadista de cimento			
				4674-5/00	Comércio atacadista de cimento	Alto	Alto	Alto
			46.79-6		Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral			
				4679-6/01	Comércio atacadista de tintas, vernizes e similares	Alto	Alto	Alto
				4679-6/02	Comércio atacadista de mármores e granitos	Médio	Médio	Alto
				4679-6/03	Comércio atacadista de vidros, espelhos e vitrais	Médio	Médio	Alto
				4679-6/04	Comércio atacadista especializado de materiais de construção não especificados anteriormente	Alto	Alto	Alto
				4679-6/99	Comércio atacadista de materiais de construção em geral	Alto	Alto	Alto
		46.8			Comércio atacadista especializado em outros produtos			
			46.81-8		Comércio atacadista de combustíveis sólidos, líquidos e gasosos, exceto gás natural e GLP			
				4681-8/01	Comércio atacadista de álcool carburante, biodiesel, gasolina e demais derivados de petróleo, exceto lubrificantes, não realizado por transportador retalhista (TRR)	Alto	Alto	Alto
				4681-8/02	Comércio atacadista de combustíveis realizado por transportador retalhista (TRR)	Alto	Alto	Alto
				4681-8/03	Comércio atacadista de combustíveis de origem vegetal, exceto álcool carburante	Alto	Alto	Alto
				4681-8/04	Comércio atacadista de combustíveis de origem mineral em bruto	Alto	Alto	Alto
				4681-8/05	Comércio atacadista de lubrificantes	Alto	Alto	Alto
			46.82-6		Comércio atacadista de gás liquefeito de petróleo (GLP)			
				4682-6/00	Comércio atacadista de gás liquefeito de petróleo (GLP)	Alto	Alto	Alto
			46.83-4		Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo			
				4683-4/00	Comércio atacadista de defensivos agrícolas, adubos, fertilizantes e corretivos do solo	Alto	Alto	Alto
			46.84-2		Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos			
				4684-2/01	Comércio atacadista de resinas e elastômeros	Alto	Alto	Alto
				4684-2/02	Comércio atacadista de solventes	Alto	Alto	Alto
				4684-2/99	Comércio atacadista de outros produtos químicos e petroquímicos não especificados anteriormente	Alto	Alto	Alto
			46.85-1		Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção			
				4685-1/00	Comércio atacadista de produtos siderúrgicos e metalúrgicos, exceto para construção	Médio	Médio	Alto
			46.86-9		Comércio atacadista de papel e papelão em bruto e de embalagens			
				4686-9/01	Comércio atacadista de papel e papelão em bruto	Alto	Alto	Alto
				4686-9/02	Comércio atacadista de embalagens	Baixo	Médio	Alto
			46.87-7		Comércio atacadista de resíduos e sucatas			
				4687-7/01	Comércio atacadista de resíduos de papel e papelão	Alto	Alto	Alto
				4687-7/02	Comércio atacadista de resíduos e sucatas não metálicos, exceto de papel e papelão	Alto	Alto	Alto
				4687-7/03	Comércio atacadista de resíduos e sucatas metálicos	Alto	Alto	Alto
			46.89-3		Comércio atacadista especializado de outros produtos intermediários não especificados anteriormente			
				4689-3/01	Comércio atacadista de produtos da extração mineral, exceto combustíveis	Médio	Médio	Alto
				4689-3/02	Comércio atacadista de fios e fibras beneficiados	Médio	Médio	Alto
				4689-3/99	Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente	Médio	Médio	Alto
		46.9			Comércio atacadista não especializado			
			46.91-5		Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios			
				4691-5/00	Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios	Médio	Médio	Alto
			46.92-3		Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários			
				4692-3/00	Comércio atacadista de mercadorias em geral, com predominância de insumos agropecuários	Médio	Médio	Alto
			46.93-1		Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários			
				4693-1/00	Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários	Médio	Médio	Alto
	47				COMÉRCIO VAREJISTA			
		47.1			Comércio varejista não especializado			
			47.11-3		Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados e supermercados			
				4711-3/01	Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados	Médio	Médio	Alto
				4711-3/02	Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados	Médio	Médio	Alto
			47.12-1		Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns			
				4712-1/00	Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - minimercados, mercearias e armazéns	Médio	Médio	Alto
			47.13-0		Comércio varejista de mercadorias em geral, sem predominância de produtos alimentícios			
								
				4713-0/02	Lojas de variedades, exceto lojas de departamentos ou magazines	Médio	Médio	Alto
								
				4713-0/04	Lojas de departamentos ou magazines, exceto lojas francas (Duty free)	Médio	Médio	Alto
				4713-0/05	Lojas francas (Duty Free) de aeroportos, portos e em fronteiras terrestres	Médio	Médio	Alto
		47.2			Comércio varejista de produtos alimentícios, bebidas e fumo			
			47.21-1		Comércio varejista de produtos de padaria, laticínio, doces, balas e semelhantes			
								
				4721-1/02	Padaria e confeitaria com predominância de revenda	Baixo	Médio	Alto
				4721-1/03	Comércio varejista de laticínios e frios	Baixo	Médio	Alto
				4721-1/04	Comércio varejista de doces, balas, bombons e semelhantes	Baixo	Médio	Alto
			47.22-9		Comércio varejista de carnes e pescados - açougues e peixarias			
				4722-9/01	Comércio varejista de carnes - açougues	Médio	Médio	Alto
				4722-9/02	Peixaria	Médio	Médio	Alto
			47.23-7		Comércio varejista de bebidas			
				4723-7/00	Comércio varejista de bebidas	Baixo	Médio	Alto
			47.24-5		Comércio varejista de hortifrutigranjeiros			
				4724-5/00	Comércio varejista de hortifrutigranjeiros	Baixo	Médio	Alto
			47.29-6		Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente; produtos do fumo			
				4729-6/01	Tabacaria	Médio	Médio	Alto
				4729-6/02	Comércio varejista de mercadorias em lojas de conveniência	Baixo	Médio	Alto
				4729-6/99	Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não especificados anteriormente	Médio	Médio	Alto
		47.3			Comércio varejista de combustíveis para veículos automotores			
			47.31-8		Comércio varejista de combustíveis para veículos automotores			
				4731-8/00	Comércio varejista de combustíveis para veículos automotores	Alto	Alto	Alto
			47.32-6		Comércio varejista de lubrificantes			
				4732-6/00	Comércio varejista de lubrificantes	Alto	Alto	Alto
		47.4			Comércio varejista de material de construção			
			47.41-5		Comércio varejista de tintas e materiais para pintura			
				4741-5/00	Comércio varejista de tintas e materiais para pintura	Alto	Alto	Alto
			47.42-3		Comércio varejista de material elétrico			
				4742-3/00	Comércio varejista de material elétrico	Médio	Médio	Alto
			47.43-1		Comércio varejista de vidros			
				4743-1/00	Comércio varejista de vidros	Médio	Médio	Alto
			47.44-0		Comércio varejista de ferragens, madeira e materiais de construção			
				4744-0/01	Comércio varejista de ferragens e ferramentas	Médio	Médio	Alto
				4744-0/02	Comércio varejista de madeira e artefatos	Médio	Médio	Alto
				4744-0/03	Comércio varejista de materiais hidráulicos	Médio	Médio	Alto
				4744-0/04	Comércio varejista de cal, areia, pedra britada, tijolos e telhas	Médio	Médio	Alto
				4744-0/05	Comércio varejista de materiais de construção não especificados anteriormente	Médio	Médio	Alto
				4744-0/06	Comércio varejista de pedras para revestimento	Médio	Médio	Alto
				4744-0/99	Comércio varejista de materiais de construção em geral	Médio	Médio	Alto
		47.5			Comércio varejista de equipamentos de informática e comunicação; equipamentos e artigos de uso doméstico			
			47.51-2		Comércio varejista especializado de equipamentos e suprimentos de informática			
				4751-2/01	Comércio varejista especializado de equipamentos e suprimentos de informática	Médio	Médio	Alto
				4751-2/02	Recarga de cartuchos para equipamentos de informática	Médio	Médio	Alto
			47.52-1		Comércio varejista especializado de equipamentos de telefonia e comunicação			
				4752-1/00	Comércio varejista especializado de equipamentos de telefonia e comunicação	Médio	Médio	Alto
			47.53-9		Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo			
				4753-9/00	Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo	Médio	Médio	Alto
			47.54-7		Comércio varejista especializado de móveis, colchoaria e artigos de iluminação			
				4754-7/01	Comércio varejista de móveis	Médio	Médio	Alto
				4754-7/02	Comércio varejista de artigos de colchoaria	Médio	Médio	Alto
				4754-7/03	Comércio varejista de artigos de iluminação	Médio	Médio	Alto
			47.55-5		Comércio varejista especializado de tecidos e artigos de cama, mesa e banho			
				4755-5/01	Comércio varejista de tecidos	Médio	Médio	Alto
				4755-5/02	Comercio varejista de artigos de armarinho	Médio	Médio	Alto
				4755-5/03	Comercio varejista de artigos de cama, mesa e banho	Médio	Médio	Alto
			47.56-3		Comércio varejista especializado de instrumentos musicais e acessórios			
				4756-3/00	Comércio varejista especializado de instrumentos musicais e acessórios	Médio	Médio	Alto
			47.57-1		Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação			
				4757-1/00	Comércio varejista especializado de peças e acessórios para aparelhos eletroeletrônicos para uso doméstico, exceto informática e comunicação	Médio	Médio	Alto
			47.59-8		Comércio varejista de artigos de uso doméstico não especificados anteriormente			
				4759-8/01	Comércio varejista de artigos de tapeçaria, cortinas e persianas	Médio	Médio	Alto
				4759-8/99	Comércio varejista de outros artigos de uso doméstico não especificados anteriormente	Médio	Médio	Alto
		47.6			Comércio varejista de artigos culturais, recreativos e esportivos			
			47.61-0		Comércio varejista de livros, jornais, revistas e papelaria			
				4761-0/01	Comércio varejista de livros	Médio	Médio	Alto
				4761-0/02	Comércio varejista de jornais e revistas	Médio	Médio	Alto
				4761-0/03	Comércio varejista de artigos de papelaria	Médio	Médio	Alto
			47.62-8		Comércio varejista de discos, CDs, DVDs e fitas			
				4762-8/00	Comércio varejista de discos, CDs, DVDs e fitas	Médio	Médio	Alto
			47.63-6		Comércio varejista de artigos recreativos e esportivos			
				4763-6/01	Comércio varejista de brinquedos e artigos recreativos	Médio	Médio	Alto
				4763-6/02	Comércio varejista de artigos esportivos	Médio	Médio	Alto
				4763-6/03	Comércio varejista de bicicletas e triciclos; peças e acessórios	Médio	Médio	Alto
				4763-6/04	Comércio varejista de artigos de caça, pesca e camping	Médio	Médio	Alto
				4763-6/05	Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios	Médio	Médio	Alto
		47.7			Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos			
			47.71-7		Comércio varejista de produtos farmacêuticos para uso humano e veterinário			
				4771-7/01	Comércio varejista de produtos farmacêuticos, sem manipulação de fórmulas	Baixo	Médio	Alto
				4771-7/02	Comércio varejista de produtos farmacêuticos, com manipulação de fórmulas	Médio	Médio	Alto
				4771-7/03	Comércio varejista de produtos farmacêuticos homeopáticos	Médio	Médio	Alto
				4771-7/04	Comércio varejista de medicamentos veterinários	Médio	Médio	Alto
			47.72-5		Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal			
				4772-5/00	Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal	Baixo	Médio	Alto
			47.73-3		Comércio varejista de artigos médicos e ortopédicos			
				4773-3/00	Comércio varejista de artigos médicos e ortopédicos	Baixo	Médio	Alto
			47.74-1		Comércio varejista de artigos de óptica			
				4774-1/00	Comércio varejista de artigos de óptica	Baixo	Médio	Alto
		47.8			Comércio varejista de produtos novos não especificados anteriormente e de produtos usados			
			47.81-4		Comércio varejista de artigos do vestuário e acessórios			
				4781-4/00	Comércio varejista de artigos do vestuário e acessórios	Médio	Médio	Alto
			47.82-2		Comércio varejista de calçados e artigos de viagem			
				4782-2/01	Comércio varejista de calçados	Médio	Médio	Alto
				4782-2/02	Comércio varejista de artigos de viagem	Médio	Médio	Alto
			47.83-1		Comércio varejista de jóias e relógios			
				4783-1/01	Comércio varejista de artigos de joalheria	Médio	Médio	Alto
				4783-1/02	Comércio varejista de artigos de relojoaria	Médio	Médio	Alto
			47.84-9		Comércio varejista de gás liqüefeito de petróleo (GLP)			
				4784-9/00	Comércio varejista de gás liqüefeito de petróleo (GLP)	Alto	Alto	Alto
			47.85-7		Comércio varejista de artigos usados			
				4785-7/01	Comércio varejista de antiguidades	Médio	Médio	Alto
				4785-7/99	Comércio varejista de outros artigos usados	Médio	Médio	Alto
			47.89-0		Comércio varejista de outros produtos novos não especificados anteriormente			
				4789-0/01	Comércio varejista de suvenires, bijuterias e artesanatos	Médio	Médio	Alto
				4789-0/02	Comércio varejista de plantas e flores naturais	Médio	Médio	Alto
				4789-0/03	Comércio varejista de objetos de arte	Médio	Médio	Alto
